id_set_1	id_set_2	dummy_field	name_set_1	name_set_2
58594	27137	dummy_value	one+good+spliff_20531136.html	future+lovers_20536855.html
40586	31937	dummy_value	in+my+time+of+dying_20279881.html	heartbreaker_20101089.html
34999	7998	dummy_value	hung+up_20536858.html	before+the+night+is+over_20025507.html
75731	9607	dummy_value	the+long+way+home_10194747.html	blind+love_20138916.html
75144	12882	dummy_value	the+girl+i+love+she+got+long+black+wavy+hair_20081945.html	cant+stop+this+thing+we+started_20025535.html
25048	16976	dummy_value	fine+knacks+for+ladies_20535329.html	cryin_20621464.html
73268	22091	dummy_value	tangerine_20082035.html	eaten+alive_20092838.html
24921	19231	dummy_value	fighting+spirit_20708313.html	disappear_10090142.html
43128	30787	dummy_value	jesus+gonna+be+here_20138811.html	hang+on+st+christopher_10242433.html
33444	5537	dummy_value	history+non+album+track_20965020.html	as+if_20098803.html
75144	12888	dummy_value	the+girl+i+love+she+got+long+black+wavy+hair_20081945.html	cant+stop_20086992.html
73373	29522	dummy_value	tea+for+one_20081939.html	good+times+bad+times_20082048.html
18622	6182	dummy_value	desperado_20186820.html	babe+im+gonna+leave+you_20082081.html
75144	40096	dummy_value	the+girl+i+love+she+got+long+black+wavy+hair_20081945.html	im+ready_20025614.html
70581	10302	dummy_value	stairway+to+heaven_20328938.html	bonzos+montreux_20158767.html
36357	36355	dummy_value	i+give+you+my+heart_20817284.html	i+give+you+my+heart_20210943.html
47129	45136	dummy_value	lie+to+me_20679070.html	kommienezuspadt_20687233.html
52188	52187	dummy_value	memories+of+a+rock+rolla_20463691.html	memories+of+a+rock+n+rolla_20131397.html
14846	14845	dummy_value	close+to+you_20824845.html	close+to+you_20823140.html
22097	22096	dummy_value	ebb+tide_20151331.html	ebb+tide_20055724.html
47956	22042	dummy_value	little+more+time+with+you_20069144.html	easy+ride_20086824.html
23207	23206	dummy_value	every+time+we+say+goodbye_20516704.html	every+time+we+say+goodbye_20117489.html
22023	22021	dummy_value	easy+living_20700577.html	easy+living_20017912.html
71295	67769	dummy_value	stone+in+love+with+you_10026993.html	sick+again_20082115.html
29676	29673	dummy_value	goodnight+irene_21055930.html	goodnight+irene_20143236.html
59261	49855	dummy_value	open+your+heart_10196218.html	love+profusion_10172426.html
43128	17741	dummy_value	jesus+gonna+be+here_20138811.html	darlene_20081896.html
40869	20647	dummy_value	in+this+life_20086850.html	dont+stop_20086834.html
3695	3694	dummy_value	almost+like+being+in+love_20098008.html	almost+like+being+in+love_20055778.html
32108	21941	dummy_value	heaven_20025499.html	earth+died+screaming_20138807.html
66831	23512	dummy_value	shake+rattle+roll_20066260.html	everything+you+can+think_20336531.html
72934	69979	dummy_value	take+it+to+the+limit_20805980.html	sos_10003042.html
69377	69376	dummy_value	somebody_20641946.html	somebody_20251738.html
70580	10496	dummy_value	stairway+to+heaven_20082076.html	born+to+boogie_20160259.html
50051	50050	dummy_value	love+will+lead+you+back_20823983.html	love+will+lead+you+back_20658209.html
48116	31224	dummy_value	live+to+tell_20086969.html	has+to+be_20087006.html
63515	43679	dummy_value	remember_20025450.html	jump_20536852.html
40458	14431	dummy_value	in+darkness+let+me+dwell_20535323.html	christmas+time_20025571.html
60846	21104	dummy_value	picture+in+a+frame_20138877.html	down+there+by+the+train_20679056.html
62849	13900	dummy_value	ramble+on_20306756.html	cheater+demo_20167611.html
26232	26203	dummy_value	forever_20824434.html	forever+yours_21061310.html
57817	47540	dummy_value	oh+father_20086917.html	like+it+or+not_20536848.html
40869	20636	dummy_value	in+this+life_20086850.html	dont+stop+til+you+get+enough_20575624.html
82424	82423	dummy_value	what+are+you+doing+new+years+eve_20144704.html	what+are+you+doing+new+years+eve_20064494.html
82309	14431	dummy_value	were+gonna+win_20025445.html	christmas+time_20025571.html
34345	29522	dummy_value	hot+dog_20081909.html	good+times+bad+times_20082048.html
82424	82422	dummy_value	what+are+you+doing+new+years+eve_20144704.html	what+are+you+doing+new+years+eve_20027452.html
72934	43332	dummy_value	take+it+to+the+limit_20805980.html	jockey+full+of+bourbon_20138924.html
25116	25114	dummy_value	fire+down+below_20729222.html	fire+down+below_20021956.html
57818	31881	dummy_value	oh+father_20814345.html	heartache+tonight_20044506.html
34345	9606	dummy_value	hot+dog_20081909.html	blind+love_20021999.html
11771	11770	dummy_value	burning+down+the+house_20138359.html	burning+down+the+house_20135067.html
57818	31882	dummy_value	oh+father_20814345.html	heartache+tonight_20464280.html
26416	3464	dummy_value	frail+grasp+on+the+big+picture_20660632.html	all+the+time_20679093.html
76083	4560	dummy_value	the+one+i+love_20115231.html	angel_20086921.html
34695	27527	dummy_value	how+high_20536850.html	get+behind+the+mule_20138873.html
66831	12888	dummy_value	shake+rattle+roll_20066260.html	cant+stop_20086992.html
65941	15840	dummy_value	scared+of+the+moon_20486416.html	coney+island+baby_20174293.html
43064	4560	dummy_value	jeremy_20075467.html	angel_20086921.html
81434	10496	dummy_value	walk+this+way_20004224.html	born+to+boogie_20160259.html
66831	12882	dummy_value	shake+rattle+roll_20066260.html	cant+stop+this+thing+we+started_20025535.html
83521	60846	dummy_value	white+moon_10187178.html	picture+in+a+frame_20138877.html
60846	35743	dummy_value	picture+in+a+frame_20138877.html	i+cant+tell+you+why_20144418.html
56831	40869	dummy_value	nobodys+fault+but+mine_20062498.html	in+this+life_20086850.html
80536	38658	dummy_value	until_20277730.html	if+i+have+to+go_20684055.html
55632	16664	dummy_value	never+let+go_20679059.html	crimes+of+passion_20086904.html
